id;date;exercise;meals;alcohol;notes
1;2021-03-09;6198;38418;57707;withdrawal Denar application
2;2021-03-09;51395;58657;20486;Music
3;2021-03-09;59462;53566;83545;time-frame
4;2021-03-09;61591;1730;19660;Licensed Group JBOD
5;2021-03-09;20017;81652;72051;cyan
6;2021-03-10;35227;55062;50823;ability
7;2021-03-10;23091;24113;78120;Argentina Switzerland
8;2021-03-09;45699;17175;31349;Frozen Human Officer
9;2021-03-10;88212;94364;63944;Mission
10;2021-03-09;62073;42930;55671;Unbranded Frozen Bacon orchestrate
